,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
4423,Kyokugen Dasshutsu Adv: Zennin Shibou desu Prologue,00:12:00,Finished Airing,ONA,1,R 17,Mystery,none,none,Gonzo,5107,12,2011-12-11,none,none,none,none,none
4424,Omoide Poroporo,01:58:00,Finished Airing,Movie,1,G,"Drama,Romance",GKIDS,Tokuma Shoten,Studio Ghibli,137891,1123,1991-07-20,none,none,none,none,none
4425,Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,00:04:00,Finished Airing,Special,6,PG 13,Fantasy,Sentai Filmworks,none,Production I.G,2311,1,Jul 27, 2012 to Dec 21,none,none,none,none
4426,Happy World!,00:26:00,Finished Airing,OVA,3,PG 13,"Fantasy,Comedy,Romance,Ecchi",none,"Soft Garage,KSS",Zexcs,6215,6,2002-12-13,2003-06-27,none,none,none,none
4427,Fushigi na Elevator,00:08:00,Finished Airing,Movie,1,G,Fantasy,none,"Yamamura Animation, Inc.",none,719,0,1991-01-01,none,none,none,none,none
4428,Tian Yanshen Tu,00:22:00,Finished Airing,TV,52,PG,Fantasy,none,none,none,58,0,Jun 2011 to ?,none,none,none,?,none
4429,Highway Jenny,00:28:00,Finished Airing,OVA,1,PG 13,Fantasy,none,none,Toei Animation,1448,2,Sep 27, 2006,none,none,none,none
4430,Dahufa,01:35:00,Finished Airing,Movie,1,R 17,"Adventure,Fantasy,Action",none,"Horgos Coloroom Pictures Co., Ltd.,Beijing Enlight Pictures",Nice Boat Animation,1024,2,2017-07-13,none,none,none,none,none
4431,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,00:23:00,Finished Airing,TV,12,PG 13,Fantasy,none,"SB Creative,Bit Promotion,Dream Shift,AT-X,MediaNet,Pony Canyon,Sotsu,Tokyo MX,Happinet,BS Fuji,KlockWorx",Project No.9,255194,515,2019-10-03,2019-12-19,thur,21:00:00,Fall,2019
4432,Manga Aesop Monogatari (TV),00:15:00,Finished Airing,TV,52,G,"Comedy,Fantasy",none,none,Nippon Animation,538,1,Oct 10, 1983 to Dec 22,none,none,Fall,1983
4433,Kidou Senshi Gundam: Twilight Axis - Akaki Zanei,00:26:00,Finished Airing,Movie,1,PG 13,"Sci-Fi,Action",none,none,Sunrise,4032,3,Nov 18, 2017,none,none,none,none
4434,Hunter,00:08:00,Finished Airing,Movie,1,R+,"Horror,Avant Garde",none,none,none,302,0,Sep 14, 2017,none,none,none,none
4435,Doubutsu Olympic Taikai,00:13:00,Finished Airing,Movie,1,G,"Sports,Comedy",none,none,none,1203,0,Sep 4, 1928,none,none,none,none
4436,Digimon Adventure tri. 2: Ketsui,01:28:00,Finished Airing,Movie,1,PG 13,"Comedy,Drama,Action,Adventure",Shout! Factory,"Ai Addiction,Bandai",Toei Animation,79105,91,2016-03-12,none,none,none,none,none
4437,Chainsaw Man,00:24:00,Finished Airing,TV,12,R 17,"Action,Fantasy",none,none,MAPPA,1298860,41970,2022-10-12,2022-12-28,wed,00:00:00,Fall,2022
4438,Loups=Garous #Overture,00:10:00,Finished Airing,OVA,2,PG 13,"Sci-Fi,Mystery",Sentai Filmworks,none,Production I.G,1855,0,Aug 27, 2010,none,none,none,none
4439,Tenkuu Senki Shurato,00:24:00,Finished Airing,TV,38,PG 13,"Fantasy,Action",none,Sotsu,Tatsunoko Production,10705,57,1989-04-06,1990-01-25,thur,19:00:00,Spring,1989
4440,Kyoto Animation: Kasa-hen,30 sec.,Finished Airing,Special,1,G,Fantasy,none,"Rakuonsha,Animation Do,Lantis",Kyoto Animation,4643,0,2012-06-01,none,none,none,none,none
4441,Watashi dake no Okosama Lunch,00:06:00,Finished Airing,Movie,1,G,"Fantasy,Action",none,none,none,371,0,2022-09-23,none,none,none,none,none
4442,Sennin Buraku,00:15:00,Finished Airing,TV,23,PG 13,"Comedy,Ecchi",none,none,Eiken,1086,2,Sep 4, 1963 to Feb 23,none,none,Fall,1963
4443,New Initial D Movie: Legend 2 - Tousou,01:01:00,Finished Airing,Movie,1,PG 13,none,Sentai Filmworks,"Sammy,Ultra Super Pictures,Shochiku,Kodansha,Avex Pictures","SANZIGEN,LIDENFILMS",28725,47,2015-05-23,none,none,none,none,none
4444,Sangokushi: Dai San Bu - Harukanaru Taichi,02:27:00,Finished Airing,Movie,1,PG 13,Action,none,Shinano Kikaku,Toei Animation,644,1,1994-04-09,none,none,none,none,none
4445,Washimo 8th Season,00:10:00,Finished Airing,TV,40,G,"Comedy,Slice of Life,Sci-Fi",none,none,none,212,1,Mar 30, 2020 to Dec 15,mon,06:00:00,Spring,2020
4446,Nakoruru: Ano Hito kara no Okurimono,00:28:00,Finished Airing,OVA,1,R+,"Fantasy,Drama,Supernatural",none,Atelier Musa,Arms,1972,2,May 25, 2002,none,none,none,none
4447,Steins;Gate,00:24:00,Finished Airing,TV,24,PG 13,"Sci-Fi,Suspense,Drama",Funimation,"Frontier Works,Kadokawa Shoten,Kadokawa Pictures Japan,AT-X,Movic,Nitroplus,Media Factory",White Fox,2454259,183746,Apr 6, 2011 to Sep 14,wed,02:05:00,Spring,2011
4448,Toaru Kagaku no Railgun S: Motto Marutto Railgun,00:08:00,Finished Airing,Special,2,PG 13,Comedy,none,none,J.C.Staff,34186,36,2013-07-24,2013-11-27,none,none,none,none
4449,Ojiichan ga Kaizoku Datta Koro,00:03:00,Finished Airing,Movie,1,G,Comedy,none,none,none,402,0,1968-01-01,none,none,none,none,none
4450,Ai wa KAT-TUN,53 sec. per ep.,Finished Airing,ONA,5,G,Comedy,none,none,none,2528,9,Jan 13, 2012,none,none,none,none
4451,White Album,00:24:00,Finished Airing,TV,13,PG 13,"Romance,Drama",none,none,Seven Arcs,118689,213,2009-01-04,2009-03-29,sun,02:00:00,Winter,2009
4452,Dr. Slump: Robot Taiketsu! Shukuteki Dr. Mashirito Toujou / Keen de Yuushou!? Penguin Grand Prix,00:45:00,Finished Airing,Special,1,PG 13,"Comedy,Sci-Fi",none,none,Toei Animation,720,0,Apr 1, 1998,none,none,none,none
4453,Melody,00:08:00,Finished Airing,ONA,1,G,Drama,none,none,none,1634,1,2008-01-01,none,none,none,none,none
