Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Hunter x Hunter: Greed Island,"2003-02-05,2003-04-16",none,00:22:00,Finished Airing,OVA,none,8,PG 13,"Action,Fantasy,Adventure",none,none,Nippon Animation,150757,286
Nakanohito Genome [Jikkyouchuu],2019-07-07 2019-09-22,7 22:00:00,00:23:00,Finished Airing,TV,Summer 2019,12,PG 13,Comedy Drama,Funimation,AT-X Docomo Anime Store Kadokawa Media House Bit Promotion Lantis Muse Communication Kadokawa Bandai Namco Arts,SILVER LINK.,127221,577
Xiyou Ji: Dasheng Guilai,2015-07-10,none,01:27:00,Finished Airing,Movie,none,1,PG 13,"Adventure,Supernatural,Fantasy",none,Bytehoo,October Media,2823,4
Peeping Life: Shinkon-chan Kansai ni Irasshai,"Mar 27, 2014",none,00:05:00,Finished Airing,ONA,none,1,G,"Slice of Life,Comedy",none,CoMix Wave Films,none,682,0
Shugo Chara!! Doki,"2008-10-04,2009-09-25","sat,09:30:00",00:24:00,Finished Airing,TV,Fall 2008,51,PG,"Comedy,Fantasy",none,"TV Tokyo,Sotsu",Satelight,101324,582
Akazukin to Kenkou,2007-01-01,none,00:05:00,Finished Airing,OVA,none,1,PG 13,Comedy,none,none,none,510,2
Wo Zai Xianjie Zheng Jifen,"2022-11-05,2023-03-18",none,00:09:00,Finished Airing,ONA,none,40,PG 13,"Fantasy,Action",none,Youku,Quyue Technology,703,1
Daisetsusan no Yuusha Kibaou,1978-09-23,none,01:07:00,Finished Airing,Special,none,1,PG 13,"Adventure,Drama",none,none,Nippon Animation,1066,4
Shaonian Jinyiwei,"2017-02-09,2017-05-04",none,00:18:00,Finished Airing,ONA,none,13,PG 13,"Romance,Adventure,Mystery,Action",none,Youku,Boyan Pictures,1113,8
Seikoku no Dragonar,"2014-04-05,2014-06-21",Unknown,00:24:00,Finished Airing,TV,Spring 2014,12,R+,"Comedy,Fantasy,Ecchi",Funimation,"Sony Music Communications,Media Factory,Tsukuru no Mori,AT-X",C-Station,216841,282
Kirakira 5th Anniversary Live Anime: Kick Start Generation,2013-03-27,none,00:26:00,Finished Airing,OVA,none,1,G,none,none,"Lantis,Media Factory",SILVER LINK.,2343,6
Tokyo 2164,2014-12-01,none,00:03:00,Finished Airing,ONA,none,1,G,Sci-Fi,none,none,Echoes,284,0
"Kimi to, Nami ni Noretara",2019-06-21,None,01:35:00,Finished Airing,Movie,None,1,PG 13,"Romance,Supernatural,Drama",GKIDS,Lawson Entertainment,Science SARU,208101,1246
To LOVE-Ru Darkness 2nd Specials,2016-02-26,none,00:23:00,Finished Airing,Special,none,2,R+,"Comedy,Sci-Fi,Ecchi,Romance",Sentai Filmworks,Magic Capsule,Xebec,94420,160
Wooser no Sono Higurashi: Kakusei-hen,2014-01-08 2014-03-26,None,00:04:00,Finished Airing,TV,Winter 2014,12,G,Fantasy Comedy Slice of Life,"None found, add some",TV Tokyo,LIDENFILMS SANZIGEN,6418,7
Dorimogu Daa!!,1986-10-15 1987-10-08,None,00:25:00,Finished Airing,TV,Fall 1986,49,PG,Adventure Fantasy,"None found, add some","None found, add some","None found, add some",562,3
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,"Apr 8, 2021 to Jun 24, 2021",Thursdays at 23:00 (JST),00:23:00,Finished Airing,TV,Spring 2021,12,PG 13,"Action,Fantasy,Slice of Life",none,Pony Canyon,Studio Comet,23219,155
Anata no France wa Donna Tokoro?,"Jul 18, 2022",none,00:02:00,Finished Airing,ONA,none,1,G,Slice of Life,none,none,Studio Daisy,346,0
Kimi ni Todoke 2nd Season: Minitodo Gekijou,"2011-04-20,2011-09-21",none,00:05:00,Finished Airing,Special,none,3,PG 13,"Comedy,Romance",none,none,Production I.G,47827,39
Eat-Man 98,"1998-10-08,1998-12-23","thur,01:45:00",00:23:00,Finished Airing,TV,Fall 1998,12,PG 13,"Adventure,Action,Sci-Fi","Bandai Entertainment,Discotek Media",none,Studio Deen,5936,7
Given,"2019-07-12,2019-09-20","fri,00:55:00",00:22:00,Finished Airing,TV,Summer 2019,11,PG 13,"Drama,Boys Love,Romance",none,"Aniplex,Dentsu,Shinshokan,Movic,Fuji TV",Lerche,539198,16593
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),"Jul 7, 2023 to ?","fri,00:55:00",00:22:00,Currently Airing,TV,Summer 2023,24,R 17,"Action,Romance",Aniplex of America,"Aniplex,Dentsu,Shueisha,Animax,Fuji TV",LIDENFILMS,64636,307
Sono Kinisasete yo: My My Mai,"Dec 16, 1993 to Jan 21, 1994",none,00:39:00,Finished Airing,OVA,none,2,R+,"Comedy,Supernatural,Ecchi",Central Park Media,AC Create,J.C.Staff,3140,3
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,2015-12-25,none,00:24:00,Finished Airing,Special,none,1,PG 13,"Sports,Comedy",Sentai Filmworks,TBS,Brain's Base,36124,35
